,data,co2,ch4,n2o
146,1973-03-31,327.82166666666666,1.3810499999999999,0.2956666666666667
147,1973-04-30,328.0075,1.3815250000000001,0.2957
148,1973-05-31,328.1933333333333,1.382,0.2957333333333333
149,1973-06-30,328.3791666666666,1.382475,0.2957666666666667
150,1973-07-31,328.565,1.38295,0.2958
151,1973-08-31,328.75083333333333,1.383425,0.2958333333333334
152,1973-09-30,328.93666666666667,1.3839000000000001,0.29586666666666667
153,1973-10-31,329.1225,1.384375,0.2959
154,1973-11-30,329.30833333333334,1.38485,0.2959333333333333
155,1973-12-31,329.4941666666667,1.3853250000000001,0.29596666666666666
156,1974-01-31,329.68,1.3858,0.296
157,1974-02-28,329.72166666666664,1.388775,0.29597500000000004
158,1974-03-31,329.7633333333333,1.39175,0.29595000000000005
159,1974-04-30,329.805,1.394725,0.295925
160,1974-05-31,329.8466666666667,1.3977,0.2959
161,1974-06-30,329.8883333333333,1.400675,0.295875
162,1974-07-31,329.93,1.40365,0.29585
163,1974-08-31,329.9716666666667,1.406625,0.295825
164,1974-09-30,330.0133333333333,1.4096,0.2958
165,1974-10-31,330.055,1.4125750000000001,0.29577499999999995
166,1974-11-30,330.0966666666667,1.41555,0.29575
167,1974-12-31,330.1383333333334,1.418525,0.295725
168,1975-01-31,330.18,1.4215,0.29569999999999996
169,1975-02-28,330.255,1.4214083333333334,0.29591666666666666
170,1975-03-31,330.33000000000004,1.4213166666666668,0.2961333333333333
171,1975-04-30,330.405,1.421225,0.29635
172,1975-05-31,330.48,1.4211333333333334,0.2965666666666667
173,1975-06-30,330.55499999999995,1.4210416666666663,0.2967833333333333
174,1975-07-31,330.63,1.42095,0.297
175,1975-08-31,330.705,1.4208583333333331,0.2972166666666667
176,1975-09-30,330.78,1.420766666666667,0.2974333333333333
177,1975-10-31,330.855,1.4206750000000001,0.29765
178,1975-11-30,330.92999999999995,1.4205833333333333,0.29786666666666667
179,1975-12-31,331.00499999999994,1.4204916666666667,0.2980833333333333
180,1976-01-31,331.08,1.4204,0.2983
181,1976-02-29,331.1608333333333,1.4219525000000002,0.298225
182,1976-03-31,331.2416666666667,1.423505,0.29814999999999997
183,1976-04-30,331.3225,1.4250574999999999,0.29807500000000003
184,1976-05-31,331.40333333333336,1.42661,0.298
185,1976-06-30,331.4841666666666,1.4281625,0.29792499999999994
186,1976-07-31,331.565,1.4297149999999998,0.29785
187,1976-08-31,331.64583333333337,1.4312675,0.29777499999999996
188,1976-09-30,331.7266666666667,1.43282,0.29769999999999996
189,1976-10-31,331.8075,1.4343725,0.297625
190,1976-11-30,331.8883333333334,1.435925,0.29755
191,1976-12-31,331.9691666666667,1.4374775,0.29747500000000004
192,1977-01-31,332.05,1.43903,0.2974
193,1977-02-28,332.19416666666666,1.4406191666666663,0.29755
194,1977-03-31,332.33833333333337,1.4422083333333333,0.29769999999999996
195,1977-04-30,332.4825,1.4437974999999998,0.29785
196,1977-05-31,332.62666666666667,1.4453866666666668,0.298
197,1977-06-30,332.7708333333333,1.4469758333333331,0.29814999999999997
198,1977-07-31,332.915,1.448565,0.29829999999999995
199,1977-08-31,333.05916666666667,1.4501541666666666,0.29845
200,1977-09-30,333.2033333333333,1.4517433333333332,0.29860000000000003
